ImgID,Detector,Descriptor,DetectorTime(ms),DescriptorTime(ms),VehicleKeypointsCount,VehicleKeypoints/TotalKeypoints(%),MatchedVehicleKeypointsCount,,TotalTime,
7,SIFT,FREAK,128.29,39.8041,147,10.6368,64,,168.094,
8,SIFT,FREAK,127.561,40.0393,156,10.663,65,,167.601,
9,SIFT,FREAK,130.66,39.4965,135,9.49367,79,,170.157,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,SIFT,SIFT,132.253,79.2927,137,9.52712,0,,211.546,
1,SIFT,SIFT,98.3396,78.3743,131,9.55507,81,,176.714,
2,SIFT,SIFT,95.3652,74.977,121,8.76812,79,,170.342,
3,SIFT,SIFT,100.009,77.2695,135,10.1124,83,,177.279,
4,SIFT,SIFT,91.9458,77.4619,134,10.2682,92,,169.408,
5,SIFT,SIFT,92.6887,77.1042,139,10.146,90,,169.793,
6,SIFT,SIFT,104.526,77.8645,136,9.74212,82,,182.39,
7,SIFT,SIFT,105.127,77.0229,147,10.6368,82,,182.15,
8,SIFT,SIFT,97.8817,75.751,156,10.663,100,,173.633,
9,SIFT,SIFT,93.6035,77.284,135,9.49367,101,,170.888,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
